Maker, Genmodel,Color,Reg_year,Bodytype,Mileage,Engin_size,Gearbox,Fuel_type,Price,Engine_power,Annual_Tax,Wheelbase,Height,Width,Length,Average_liter_per_100_kilometer,Top_speed_kph,Seat_num,Door_num
Bentley,Continental,Blue,2015.0,Convertible,16906.1167,6.0L,Automatic,Petrol,122941.17647058824,626.0,652.9411764705883,2746.0,1394.0,2227.0,4806.0,12.379736842105263,326.69602,4.0,2.0
Bentley,Continental,Blue,2010.0,Coupe,68396.95,6.0L,Automatic,Petrol,61176.470588235294,600.0,652.9411764705883,2745.0,1380.0,2102.0,4804.0,13.836176470588237,325.08668,4.0,2.0
Bentley,Continental,Silver,2009.0,Coupe,61557.255,6.0L,Automatic,Petrol,55292.94117647059,600.0,652.9411764705883,2745.0,1380.0,2102.0,4804.0,13.836176470588237,325.08668,4.0,2.0
Bentley,Continental,Grey,2016.0,Coupe,23460.95852,4.0L,Automatic,Petrol,109405.88235294116,521.0,635.2941176470589,2746.0,1391.0,2226.0,4818.0,8.909659090909091,308.99328,4.0,2.0
Bentley,Continental,Black,2008.0,Convertible,24140.1,6.0L,Automatic,Petrol,48496.470588235294,552.0,652.9411764705883,2745.0,1398.0,2101.0,4804.0,14.255454545454546,313.8213,4.0,2.0
Bentley,Continental,Black,2015.0,Coupe,40233.5,6.0L,Automatic,Petrol,97641.17647058824,626.0,652.9411764705883,2746.0,1394.0,2227.0,4806.0,12.062307692307693,331.52404,4.0,2.0
Bentley,Continental,Blue,2016.0,Convertible,33923.27786,4.0L,Automatic,Petrol,129411.76470588236,521.0,652.9411764705883,2746.0,1404.0,2227.0,4806.0,9.081660231660232,307.38394,4.0,2.0
Bentley,Continental,Silver,2009.0,Convertible,52786.352,6.0L,Automatic,Petrol,62222.35294117648,552.0,652.9411764705883,2745.0,1398.0,2101.0,4804.0,14.255454545454546,313.8213,4.0,2.0
Bentley,Continental,Black,2010.0,Saloon,61154.92,6.0L,Automatic,Petrol,51758.82352941177,600.0,652.9411764705883,3065.0,1465.0,1916.0,5290.0,13.836176470588237,321.868,5.0,4.0
Bentley,Continental,Blue,2014.0,Coupe,25749.44,4.0L,Automatic,Petrol,108823.52941176471,521.0,635.2941176470589,2746.0,1404.0,2227.0,4806.0,8.776679104477612,308.99328,4.0,2.0
Bentley,Continental,Grey,2014.0,Coupe,19732.11774,4.0L,Automatic,Petrol,94105.88235294116,521.0,635.2941176470589,2746.0,1404.0,2227.0,4806.0,8.776679104477612,308.99328,4.0,2.0
Bentley,Continental,Grey,2012.0,Coupe,41842.84,4.0L,Automatic,Petrol,76352.94117647059,500.0,635.2941176470589,2746.0,1404.0,1944.0,4806.0,8.744052044609665,302.55592,4.0,2.0
Bentley,Continental,Black,2013.0,Convertible,59119.1049,4.0L,Automatic,Petrol,94058.82352941176,500.0,635.2941176470589,2746.0,1404.0,1944.0,4806.0,9.081660231660232,300.94658,4.0,2.0
Bentley,Continental,White,2015.0,Convertible,2655.411,4.0L,Automatic,Petrol,117635.29411764706,521.0,652.9411764705883,2746.0,1404.0,2227.0,4806.0,9.081660231660232,307.38394,4.0,2.0
Bentley,Continental,Grey,2008.0,Convertible,67592.28,6.0L,Automatic,Petrol,47047.05882352941,552.0,652.9411764705883,2745.0,1398.0,2101.0,4804.0,14.255454545454546,313.8213,4.0,2.0
Bentley,Continental,White,2015.0,Coupe,12874.72,4.0L,Automatic,Petrol,111703.52941176471,521.0,635.2941176470589,2746.0,1404.0,2227.0,4806.0,8.776679104477612,308.99328,4.0,2.0
Bentley,Continental,Black,2008.0,Coupe,97297.47772,6.0L,Automatic,Petrol,41170.58823529412,552.0,652.9411764705883,2745.0,1390.0,2102.0,4807.0,14.255454545454546,318.64932,4.0,2.0
